entry_num,dance_name,division,style,group_size,studio,time
285,Bang,Teen,Hip Hop,Line,"Dance Warehouse, Inc.",7:26
286,Uptown Girl,Teen,,,Musical Large Northshore Theatre Group Academy of Dance,7:29
287,You Just Might,Teen,Open,Production,Broadway South Get It Dance,7:33
288,Ramalama,Teen,Jazz,,Small Jill Listi Dance Group Studio,7:37
289,New York New,Teen,,Line,The Pointe Dance York Theatre Arts,7:40
290,Kissing You,Teen,Contemporary,,Large Lemoine Academy Group of Dance,7:45
291,Siren,Senior,Jazz,,Small Jill Listi Dance Group Studio,7:49
292,Could've Been,Senior,Contemporary,,Small elite dance force You,7:55
293,Hit The Road,Teen,Open,,Small elite dance force Jack Group,8:07
294,Smoke And,Teen,Open,,Small Broadway South Mirrors Group Dance,8:10
295,It Don't Mean A,Teen,Tap,Line,Revolution Dance Thing Company,8:13
296,Adios,Senior,Jazz,,"Small Dance Warehouse, Group Inc.",8:17
297,Adios,Senior,Contemporary,,Large Northshore Group Academy of Dance,8:20
298,Canned Heat,Teen,Jazz,,"Small Dance Warehouse, Group Inc.",8:24
299,Black Friday,Senior,Contemporary,,Small The Pointe Dance Group Arts,8:27
300,When It's Cold,Senior,Contemporary,,Small Lemoine Academy Group of Dance,8:29
301,Looking Too,Teen,Contemporary,,Small Northshore Closely Group Academy of Dance,8:33
302,Birdflu,Teen,Open,,Small Jill Listi Dance Group Studio,8:36
303,Skeleton,Senior,Lyrical,,Small Jill Listi Dance Group Studio,8:39
304,What's Going On,Teen,Contemporary,,Large Broadway South Group Dance,8:42
305,Torch,Senior,Open,,Small Revolution Dance Group Company,8:46
306,Someone Like,Senior,Contemporary,,Large Northshore You Group Academy of Dance,8:48
307,Hyperballad,Teen,Open,,Small Revolution Dance Group Company,8:52
308,We'll Be Fine,Teen,Contemporary,,"Small Dance Warehouse, Group Inc.",8:56
309,Caught Up In A,Senior,Contemporary,,"Small Dance Warehouse, Dream Group Inc.",8:58
310,After Party,Teen,,,Fusion Large Broadway South Group Dance,9:01
311,Hold Back The,Teen,Contemporary,,Large The Pointe Dance River Group Arts,9:05
312,In Ruins,Teen,Open,Line,Lemoine Academy of Dance,9:08
313,River Deep,Teen,Jazz,,Small LA Dance Space Group,9:11
314,Stop The World,Teen,Lyrical,,"Small Dance Connection Group Center, LLC",9:14
315,Inertia,Senior,Contemporary,,Small Revolution Dance Group Company,9:17
316,Follow Me,Teen,Open,,Small Broadway South Group Dance,9:20
317,Please Forgive,Teen,Contemporary,,Small Revolution Dance My Ugly Group Company,9:23
318,Juro Que,Senior,Open,,Large Northshore Group Academy of Dance,9:26
319,Wicked Games,Senior,Contemporary,,Small LA Dance Space Group,9:39
320,Tulsa Time,Senior,Open,,"Small Dance Connection Group Center, LLC",9:43
321,Face In A Crowd,Senior,Contemporary,,Small Northshore Group Academy of Dance,9:46
322,Houdini,Teen,Jazz,,Large Broadway South Group Dance,9:49
